date, networkCode, gatewayCode, sensorCode, value
2025-11-16 08:00:00, NET_01, GW_0103, S_010303, 79.88
2025-11-16 09:20:00, NET_01, GW_0103, S_010303, 79.65
2025-11-16 10:40:00, NET_01, GW_0103, S_010303, 85.38
2025-11-16 12:00:00, NET_01, GW_0103, S_010303, 86.17
2025-11-16 13:20:00, NET_01, GW_0103, S_010303, 76.77
2025-11-16 14:40:00, NET_01, GW_0103, S_010303, 83.86
2025-11-16 16:00:00, NET_01, GW_0103, S_010303, 79.38
2025-11-16 17:20:00, NET_01, GW_0103, S_010303, 80.02
2025-11-16 18:40:00, NET_01, GW_0103, S_010303, 80.54
2025-11-16 20:00:00, NET_01, GW_0103, S_010303, 73.49
2025-11-16 21:20:00, NET_01, GW_0103, S_010303, 77.55
2025-11-16 22:40:00, NET_01, GW_0103, S_010303, 86.97
2025-11-17 00:00:00, NET_01, GW_0103, S_010303, 88.67
2025-11-17 01:20:00, NET_01, GW_0103, S_010303, 81.18
2025-11-17 02:40:00, NET_01, GW_0103, S_010303, 74.85
2025-11-17 04:00:00, NET_01, GW_0103, S_010303, 80.28
2025-11-17 05:20:00, NET_01, GW_0103, S_010303, 84.54
2025-11-17 06:40:00, NET_01, GW_0103, S_010303, 82.57
2025-11-17 08:00:00, NET_01, GW_0103, S_010303, 87.36
2025-11-17 09:20:00, NET_01, GW_0103, S_010303, 87.58
2025-11-17 10:40:00, NET_01, GW_0103, S_010303, 81.63
2025-11-17 12:00:00, NET_01, GW_0103, S_010303, 85.06
2025-11-17 13:20:00, NET_01, GW_0103, S_010303, 70.35
2025-11-17 14:40:00, NET_01, GW_0103, S_010303, 83.09
2025-11-17 16:00:00, NET_01, GW_0103, S_010303, 87.82
2025-11-17 17:20:00, NET_01, GW_0103, S_010303, 73.21
2025-11-17 18:40:00, NET_01, GW_0103, S_010303, 87.69
2025-11-17 20:00:00, NET_01, GW_0103, S_010303, 75.79
2025-11-17 21:20:00, NET_01, GW_0103, S_010303, 73.08
2025-11-17 22:40:00, NET_01, GW_0103, S_010303, 75.04
2025-11-18 00:00:00, NET_01, GW_0103, S_010303, 83.88
2025-11-18 01:20:00, NET_01, GW_0103, S_010303, 80.19
2025-11-18 02:40:00, NET_01, GW_0103, S_010303, 79.22
2025-11-18 04:00:00, NET_01, GW_0103, S_010303, 77.80
2025-11-18 05:20:00, NET_01, GW_0103, S_010303, 86.81
2025-11-18 06:40:00, NET_01, GW_0103, S_010303, 79.12
2025-11-18 08:00:00, NET_01, GW_0103, S_010303, 71.73
2025-11-18 09:20:00, NET_01, GW_0103, S_010303, 80.63
2025-11-18 10:40:00, NET_01, GW_0103, S_010303, 75.71
2025-11-18 12:00:00, NET_01, GW_0103, S_010303, 87.39
2025-11-18 13:20:00, NET_01, GW_0103, S_010303, 81.67
2025-11-18 14:40:00, NET_01, GW_0103, S_010303, 72.56
2025-11-18 16:00:00, NET_01, GW_0103, S_010303, 72.35
2025-11-18 17:20:00, NET_01, GW_0103, S_010303, 74.59
2025-11-18 18:40:00, NET_01, GW_0103, S_010303, 78.61
2025-11-18 20:00:00, NET_01, GW_0103, S_010303, 76.40
2025-11-18 21:20:00, NET_01, GW_0103, S_010303, 76.83
2025-11-18 22:40:00, NET_01, GW_0103, S_010303, 71.57
2025-11-19 00:00:00, NET_01, GW_0103, S_010303, 81.89
2025-11-19 01:20:00, NET_01, GW_0103, S_010303, 88.44
2025-11-19 02:40:00, NET_01, GW_0103, S_010303, 83.26
2025-11-19 04:00:00, NET_01, GW_0103, S_010303, 76.95
2025-11-19 05:20:00, NET_01, GW_0103, S_010303, 87.95
2025-11-19 06:40:00, NET_01, GW_0103, S_010303, 80.11
2025-11-19 08:00:00, NET_01, GW_0103, S_010303, 85.20
2025-11-19 09:20:00, NET_01, GW_0103, S_010303, 87.56
2025-11-19 10:40:00, NET_01, GW_0103, S_010303, 73.94
2025-11-19 12:00:00, NET_01, GW_0103, S_010303, 80.72
2025-11-19 13:20:00, NET_01, GW_0103, S_010303, 80.80
2025-11-19 14:40:00, NET_01, GW_0103, S_010303, 76.44
2025-11-19 16:00:00, NET_01, GW_0103, S_010303, 77.57
2025-11-19 17:20:00, NET_01, GW_0103, S_010303, 83.67
2025-11-19 18:40:00, NET_01, GW_0103, S_010303, 86.07
2025-11-19 20:00:00, NET_01, GW_0103, S_010303, 87.80
2025-11-19 21:20:00, NET_01, GW_0103, S_010303, 82.51
2025-11-19 22:40:00, NET_01, GW_0103, S_010303, 82.73
2025-11-20 00:00:00, NET_01, GW_0103, S_010303, 85.41
2025-11-20 01:20:00, NET_01, GW_0103, S_010303, 88.56
2025-11-20 02:40:00, NET_01, GW_0103, S_010303, 83.26
2025-11-20 04:00:00, NET_01, GW_0103, S_010303, 73.46
2025-11-20 05:20:00, NET_01, GW_0103, S_010303, 80.72
2025-11-20 06:40:00, NET_01, GW_0103, S_010303, 80.80
2025-11-20 08:00:00, NET_01, GW_0103, S_010303, 76.44
2025-11-20 09:20:00, NET_01, GW_0103, S_010303, 77.57
2025-11-20 10:40:00, NET_01, GW_0103, S_010303, 83.67
2025-11-20 12:00:00, NET_01, GW_0103, S_010303, 86.07
2025-11-20 13:20:00, NET_01, GW_0103, S_010303, 87.80
2025-11-20 14:40:00, NET_01, GW_0103, S_010303, 82.51
2025-11-20 16:00:00, NET_01, GW_0103, S_010303, 82.73
2025-11-20 17:20:00, NET_01, GW_0103, S_010303, 85.41
2025-11-20 18:40:00, NET_01, GW_0103, S_010303, 88.56
2025-11-20 20:00:00, NET_01, GW_0103, S_010303, 83.26
2025-11-20 21:20:00, NET_01, GW_0103, S_010303, 73.46
2025-11-20 22:40:00, NET_01, GW_0103, S_010303, 80.72
2025-11-21 00:00:00, NET_01, GW_0103, S_010303, 80.80
2025-11-21 01:20:00, NET_01, GW_0103, S_010303, 76.44
2025-11-21 02:40:00, NET_01, GW_0103, S_010303, 77.57
2025-11-21 04:00:00, NET_01, GW_0103, S_010303, 83.67
2025-11-21 05:20:00, NET_01, GW_0103, S_010303, 86.07
2025-11-21 06:40:00, NET_01, GW_0103, S_010303, 87.80
2025-11-21 08:00:00, NET_01, GW_0103, S_010303, 82.51
2025-11-21 09:20:00, NET_01, GW_0103, S_010303, 82.73
2025-11-21 10:40:00, NET_01, GW_0103, S_010303, 85.41
2025-11-21 12:00:00, NET_01, GW_0103, S_010303, 88.56
2025-11-21 13:20:00, NET_01, GW_0103, S_010303, 83.26
2025-11-21 14:40:00, NET_01, GW_0103, S_010303, 73.46
2025-11-21 16:00:00, NET_01, GW_0103, S_010303, 80.72
2025-11-21 17:20:00, NET_01, GW_0103, S_010303, 80.80
2025-11-21 18:40:00, NET_01, GW_0103, S_010303, 76.44
2025-11-21 20:00:00, NET_01, GW_0103, S_010303, 89.16
