date, networkCode, gatewayCode, sensorCode, value
2025-11-16 08:10:00, NET_01, GW_0102, S_010202, 1009.42
2025-11-16 09:10:00, NET_01, GW_0102, S_010202, 999.37
2025-11-16 10:10:00, NET_01, GW_0102, S_010202, 1012.55
2025-11-16 11:10:00, NET_01, GW_0102, S_010202, 1004.73
2025-11-16 12:10:00, NET_01, GW_0102, S_010202, 995.48
2025-11-16 13:10:00, NET_01, GW_0102, S_010202, 1000.66
2025-11-16 14:10:00, NET_01, GW_0102, S_010202, 1008.91
2025-11-16 15:10:00, NET_01, GW_0102, S_010202, 1004.12
2025-11-16 16:10:00, NET_01, GW_0102, S_010202, 1013.29
2025-11-16 17:10:00, NET_01, GW_0102, S_010202, 1006.55
2025-11-16 18:10:00, NET_01, GW_0102, S_010202, 993.87
2025-11-16 19:10:00, NET_01, GW_0102, S_010202, 1009.72
2025-11-16 20:10:00, NET_01, GW_0102, S_010202, 1017.44
2025-11-16 21:10:00, NET_01, GW_0102, S_010202, 1002.61
2025-11-16 22:10:00, NET_01, GW_0102, S_010202, 1014.27
2025-11-16 23:10:00, NET_01, GW_0102, S_010202, 1003.84
2025-11-17 00:10:00, NET_01, GW_0102, S_010202, 998.12
2025-11-17 01:10:00, NET_01, GW_0102, S_010202, 1008.63
2025-11-17 02:10:00, NET_01, GW_0102, S_010202, 1000.32
2025-11-17 03:10:00, NET_01, GW_0102, S_010202, 1005.19
2025-11-17 04:10:00, NET_01, GW_0102, S_010202, 1002.75
2025-11-17 05:10:00, NET_01, GW_0102, S_010202, 1007.48
2025-11-17 06:10:00, NET_01, GW_0102, S_010202, 992.54
2025-11-17 07:10:00, NET_01, GW_0102, S_010202, 1014.61
2025-11-17 08:10:00, NET_01, GW_0102, S_010202, 1001.73
2025-11-17 09:10:00, NET_01, GW_0102, S_010202, 1009.57
2025-11-17 10:10:00, NET_01, GW_0102, S_010202, 1013.11
2025-11-17 11:10:00, NET_01, GW_0102, S_010202, 999.92
2025-11-17 12:10:00, NET_01, GW_0102, S_010202, 1007.34
2025-11-17 13:10:00, NET_01, GW_0102, S_010202, 1004.08
2025-11-17 14:10:00, NET_01, GW_0102, S_010202, 1018.82
2025-11-17 15:10:00, NET_01, GW_0102, S_010202, 996.21
2025-11-17 16:10:00, NET_01, GW_0102, S_010202, 1006.44
2025-11-17 17:10:00, NET_01, GW_0102, S_010202, 999.06
2025-11-17 18:10:00, NET_01, GW_0102, S_010202, 1015.90
2025-11-17 19:10:00, NET_01, GW_0102, S_010202, 1008.13
2025-11-17 20:10:00, NET_01, GW_0102, S_010202, 1016.55
2025-11-17 21:10:00, NET_01, GW_0102, S_010202, 1003.67
2025-11-17 22:10:00, NET_01, GW_0102, S_010202, 994.25
2025-11-17 23:10:00, NET_01, GW_0102, S_010202, 1018.11
2025-11-18 00:10:00, NET_01, GW_0102, S_010202, 1007.84
2025-11-18 01:10:00, NET_01, GW_0102, S_010202, 1000.51
2025-11-18 02:10:00, NET_01, GW_0102, S_010202, 1012.36
2025-11-18 03:10:00, NET_01, GW_0102, S_010202, 993.64
2025-11-18 04:10:00, NET_01, GW_0102, S_010202, 1011.05
2025-11-18 05:10:00, NET_01, GW_0102, S_010202, 995.48
2025-11-18 06:10:00, NET_01, GW_0102, S_010202, 1002.34
2025-11-18 07:10:00, NET_01, GW_0102, S_010202, 1019.44
2025-11-18 08:10:00, NET_01, GW_0102, S_010202, 991.92
2025-11-18 09:10:00, NET_01, GW_0102, S_010202, 1008.79
2025-11-18 10:10:00, NET_01, GW_0102, S_010202, 1014.55
2025-11-18 11:10:00, NET_01, GW_0102, S_010202, 1006.61
2025-11-18 12:10:00, NET_01, GW_0102, S_010202, 1011.17
2025-11-18 13:10:00, NET_01, GW_0102, S_010202, 1003.02
2025-11-18 14:10:00, NET_01, GW_0102, S_010202, 1000.77
2025-11-18 15:10:00, NET_01, GW_0102, S_010202, 1004.36
2025-11-18 16:10:00, NET_01, GW_0102, S_010202, 1013.94
2025-11-18 17:10:00, NET_01, GW_0102, S_010202, 999.58
2025-11-18 18:10:00, NET_01, GW_0102, S_010202, 1006.18
2025-11-18 19:10:00, NET_01, GW_0102, S_010202, 1017.11
2025-11-18 20:10:00, NET_01, GW_0102, S_010202, 1001.49
2025-11-18 21:10:00, NET_01, GW_0102, S_010202, 1015.84
2025-11-18 22:10:00, NET_01, GW_0102, S_010202, 1018.03
2025-11-18 23:10:00, NET_01, GW_0102, S_010202, 1009.96
2025-11-19 00:10:00, NET_01, GW_0102, S_010202, 993.41
2025-11-19 01:10:00, NET_01, GW_0102, S_010202, 1002.52
2025-11-19 02:10:00, NET_01, GW_0102, S_010202, 999.13
2025-11-19 03:10:00, NET_01, GW_0102, S_010202, 1017.43
2025-11-19 04:10:00, NET_01, GW_0102, S_010202, 1003.66
2025-11-19 05:10:00, NET_01, GW_0102, S_010202, 1019.12
2025-11-19 06:10:00, NET_01, GW_0102, S_010202, 1000.84
2025-11-19 07:10:00, NET_01, GW_0102, S_010202, 1011.35
2025-11-19 08:10:00, NET_01, GW_0102, S_010202, 1014.62
2025-11-19 09:10:00, NET_01, GW_0102, S_010202, 1004.51
2025-11-19 10:10:00, NET_01, GW_0102, S_010202, 1012.09
2025-11-19 11:10:00, NET_01, GW_0102, S_010202, 994.76
2025-11-19 12:10:00, NET_01, GW_0102, S_010202, 1006.51
2025-11-19 13:10:00, NET_01, GW_0102, S_010202, 1002.91
2025-11-19 14:10:00, NET_01, GW_0102, S_010202, 1016.62
2025-11-19 15:10:00, NET_01, GW_0102, S_010202, 1009.83
2025-11-19 16:10:00, NET_01, GW_0102, S_010202, 1007.24
2025-11-19 17:10:00, NET_01, GW_0102, S_010202, 1011.18
2025-11-19 18:10:00, NET_01, GW_0102, S_010202, 1005.15
2025-11-19 19:10:00, NET_01, GW_0102, S_010202, 994.37
2025-11-19 20:10:00, NET_01, GW_0102, S_010202, 1003.41
2025-11-19 21:10:00, NET_01, GW_0102, S_010202, 1014.94
2025-11-19 22:10:00, NET_01, GW_0102, S_010202, 1012.44
2025-11-19 23:10:00, NET_01, GW_0102, S_010202, 997.85
